pinyin_name	chinese_name	composition	pinyin_composition	indication	use_method	references
QING TAN JIANG HUO TANG	清痰降火汤	半夏（姜制）1钱半，橘红1钱2分，茯苓1钱2分，甘草5分，黄芩（酒炒）2钱，山栀、枳壳（炒）、桔梗、柴胡、菖蒲、木通。	BAN XIA,JU HONG,FU LING,GAN CAO,HUANG QIN,SHAN ZHI,ZHI KE,JIE GENG,CHAI HU,CHANG PU,MU TONG,	痰火上升耳鸣。	上加生姜3片，水煎服。	《便览》卷一。
SHEN QU CHA	神曲茶	广藿香4两，川朴2两，砂仁1两5钱，苏叶4两，香附4两，白芷2两，苍术4两，白蔻壳2两，法夏2两，桔梗3两，广陈皮4两，麦芽八两，山楂6两，甘草1两，花槟榔3两，茯苓2两。	YAN HUO XIANG,CHUAN PO,SHA REN,SU XIE,XIANG FU,BAI ZHI,CANG ZHU,BAI KOU KE,FA XIA,JIE GENG,YAN CHEN PI,MAI YA BA LIANG,SHAN ZHA,GAN CAO,HUA BIN LANG,FU LING,	四时不正之气，感冒发热，头眩咳嗽及伤食腹痛，痞满气痛，呕吐，泄泻痢疾，饮食不进，不服水土。	每服3钱，水煎，去滓服，或加姜1-2片同煎更佳。小儿视年龄及病情酌情减服。	《全国中药成药处方集》（南昌方）。
LONG SHI SAN	龙石散	龙骨、赤石脂、海螵蛸、白芷、黄丹、血竭、朱砂各等分。	LONG GU,CHI SHI ZHI,HAI PIAO SHAO,BAI ZHI,HUANG DAN,XIE JIE,ZHU SHA GE DENG FEN,			《医方类聚》卷一八三引《修月鲁般经》。功效:痔落尽后收敛疮口。
QING DOU YIN	青豆饮	青豆。	QING DOU,	消渴。热中，饮水无度，常若不足。	煮烂。饥则食豆，渴则饮汁。或煮粥食。	《医学入门》卷三。
HUANG QI YIN	黄耆饮	黄耆3分（锉，炒），白茯苓3分（去黑皮），麦门冬3分（去心，焙），黄芩（去黑心）3分，高良姜（炮）1分，乌梅肉（焙）2枚（去核），白术（锉）半两。	HUANG QI,BAI FU LING,MAI MEN DONG,HUANG QIN,GAO LIANG JIANG,WU MEI ROU,BAI ZHU,	小儿渴痢。	每服2钱匕，水8分1盏，煎去滓，取3分，空腹温服。	《圣济总录》卷一七九。
CHAI HU JIA DA HUANG MANG XIAO SANG PIAO SHAO TANG	柴胡加大黄芒消桑螵蛸汤	柴胡2两16钱，黄芩1两，人参1两，甘草（炙）1两，生姜1两（切），半夏1合（洗），大枣4枚（擘），芒消2两。	CHAI HU,HUANG QIN,REN SHEN,GAN CAO,SHENG JIANG,BAN XIA,DA ZAO,MANG XIAO,	伤寒不解，胸胁满而呕，日晡所发潮热而微利，服柴胡加芒消汤不解者。	前7味，以水7升，下芒消3合，大黄4分，桑螵蛸5枚，煮取1升半，去滓，温服5合，微下即愈。	《千金翼》卷九。
ZHU SHA WAN	朱砂丸	朱砂半两（细研），桂心半两，附子1两（炮裂，去皮脐），麝香半钱（细研），桃仁半两（汤浸，去皮尖双仁，麸炒微黄），巴豆21枚（去皮心，研，纸裹，压去油）。	ZHU SHA,GUI XIN,FU ZI,SHE XIANG,TAO REN,BA DOU,	心疝。	每服2丸，以醋汤送下。	《圣惠》卷四十九。
YU SHU SAN	玉鼠散	新生小鼠。	XIN SHENG XIAO SHU,	噎膈；因于气郁挟痰阻塞胃脘者。	用启膈饮加味调下。	《重订通俗伤寒论》。
LIANG ZHI TANG	两治汤	白芍5钱，当归3钱，麦冬5钱，人参1钱，甘草1钱，桔梗2钱，苏叶8分，天花粉1钱。	BAI SHAO,DANG GUI,MAI DONG,REN SHEN,GAN CAO,JIE GENG,SU XIE,TIAN HUA FEN,	人有终日高谈，连宵聚语，气血内伤，口干舌渴，精神倦怠，因而感冒风寒，头痛鼻塞，气急作喘。	水煎服。	《辨证录》卷九。功效:益肝肺，补气血，消痰火。
SHEN QI TANG	肾气汤	橘核、巴豆、川楝、玄胡、青皮、牡丹皮、薯蓣、木通、白芷、芍药、沉香、泽泻、桂、甘草、槟榔。	JU HE,BA DOU,CHUAN LIAN,XUAN HU,QING PI,MU DAN PI,SHU YU,MU TONG,BAI ZHI,SHAO YAO,CHEN XIANG,ZE XIE,GUI,GAN CAO,BIN LANG,	肾积。		《证治宝鉴》卷九。
ZHEN ZHU SAN	真珠散	白牵牛2两（微炒），白术（炒）半两，陈皮（不去瓤）半两，木通（去皮）半两，桑白皮半两。	BAI QIAN NIU,BAI ZHU,CHEN PI,MU TONG,SANG BAI PI,	膀胱蕴热，风湿相乘，外肾肿胀，小便不利，塞痛。	每服2钱，食前、日午、临卧生姜汤调下。初服旦进1服，未觉验再服。	《魏氏家藏方》卷二。功效:导利留滞。
JIE GU DAN	接骨丹	自然铜（生用，别研）、川楝子（锉、研）、黑牵牛（炒）、川乌头（生用）各等分。	ZI RAN TONG,CHUAN LIAN ZI,HEI QIAN NIU,CHUAN WU TOU GE DENG FEN,	筋骨折损。	每服5-7丸。伤损在上，食后服；伤损在下，食前服，日进2服。	《普济方》卷三○九引《卫生家宝》。
JIE E TANG	解呃汤	茯神3钱，白芍3钱，当归2钱，白术5钱，苏叶5分，麦冬5钱，白芥子3钱，柴胡1钱。	FU SHEN,BAI SHAO,DANG GUI,BAI ZHU,SU XIE,MAI DONG,BAI JIE ZI,CHAI HU,	气恼之后，肝又血燥，肺又气热，气逆而不舒，一时呃逆而不止。	水煎服。1剂而呃逆即止。	《辨证录》卷四。功效:散郁，消痰，润肺。
CHANG PU SAN	菖蒲散	石菖蒲1两，麝香1钱（研）。	SHI CHANG PU,SHE XIANG,	阴阳相并，或阴气并阳，阳气并阴，令人九窍闭塞，状类尸厥。	每服2钱，酒调下，或饮调下亦得。	《全生指迷方》卷三。
CHAN HUI SAN	蟾灰散	干虾蟆1个（大者，烧存性），五倍子1钱，麝香少许。	GAN XIA MA,WU BEI ZI,SHE XIANG SHAO XU,	小儿走马疳。	蜜调，涂齿根。	《幼幼新书》卷二十五引丁左藏方。
A XIAO WAN	阿胶丸	枳壳（麸炒）、阿胶（炒）各等分。	ZHI KE,A XIAO GE DENG FEN,	娠妇大便闭。	每服20丸，清汤送下。未通，可加至50丸。	《惠直堂方》卷四。
XING PI SAN	醒脾散	人参（碾）、天南星（碾）各等分。	REN SHEN,TIAN NAN XING GE DENG FEN,	小儿因吐，胃虚生风，胃气欲脱。	旋抄，每服2味各半钱，加冬瓜子3-7粒，水1盏半，煎2茶脚许，通口服，不拘时候。胃气生为度。大人亦可服，须倍煎之，以知为度。	《幼幼新书》卷二十七引《孔氏家传》。
CHEN SHA GAO	辰砂膏	朱砂（飞）1钱，牙消2钱5分，雄黄（飞）2钱5分，麝2字，金箔15片，银箔15片，白附子3钱，枳壳（炒）3钱，川芎4钱，白茯苓4钱，人参2钱，黄连2钱，远志2钱。	ZHU SHA,YA XIAO,XIONG HUANG,SHE,JIN BO,YIN BO,BAI FU ZI,ZHI KE,CHUAN QIONG,BAI FU LING,REN SHEN,HUANG LIAN,YUAN ZHI,	惊风，精神溃乱，魂魄飞扬，气逆痰聚。	每服1丸，麦门冬煎汤化下。	《幼科发挥》卷二。功效:通心气。
YIN BAI SAN	银白散	白术（细锉，1合绿豆炒，去豆）1两，黄耆（擘开，微炙勿令焦）1两，人参1两，干山药1两，直僵蚕（洗去灰，微炒勿令焦）1两，白茯苓1两半，川升麻半两，木香半两，甘草半两，真糯米半两，藿香半两，铁粉3分，麝香1钱，朱砂（研）1分，天竺黄（研）1分，青黛（研）1分，蛇黄1分，使君子（末）1分，黄连（去须末）1分，熊胆（研）1分。	BAI ZHU,HUANG QI,REN SHEN,GAN SHAN YAO,ZHI JIANG CAN,BAI FU LING,CHUAN SHENG MA,MU XIANG,GAN CAO,ZHEN NUO MI,HUO XIANG,TIE FEN,SHE XIANG,ZHU SHA,TIAN ZHU HUANG,QING DAI,SHE HUANG,SHI JUN ZI,HUANG LIAN,XIONG DAN,	小儿惊疳，诸疳。	1-2岁每服3丸，用粥送下；3-4岁每服5丸，1日2-3次。	《普济方》卷三八○。
BU FEI BAI SHI YING SAN	补肺白石英散	白石英1两（细研如粉），五味子1两，麦门冬3分（去心），干姜半两（炮裂，锉），白茯苓1两，附子1两（炮裂，去皮脐），甘草半两（炙微赤，锉），桂心1两，阿胶1两（搞碎，炒令黄燥），人参1两（去芦头），陈橘皮1两（汤浸，去白瓤，焙）。	BAI SHI YING,WU WEI ZI,MAI MEN DONG,GAN JIANG,BAI FU LING,FU ZI,GAN CAO,GUI XIN,A XIAO,REN SHEN,CHEN JU PI,	肺气虚，恶寒咳嗽，鼻有清涕，喘息气微，四肢少力。	每服3钱，以水1中盏，加大枣3枚，煎至6分，去滓，不拘时候温服。	《圣惠》卷六。
TU JIN WAN	吐津丸	雄黄3钱，巴豆3钱，木香3钱，白矾3钱，公丁香5钱，肉桂5钱，胡椒5钱，五灵脂（去砂石，醋炒）1两。	XIONG HUANG,BA DOU,MU XIANG,BAI FAN,GONG DING XIANG,ROU GUI,HU JIAO,WU LING ZHI,	九种心痛。	每服15丸，虚弱与小儿减半，烧酒送下，不拘时候。	《仙拈集》卷二。
SHI QUAN FANG	十全方	白蔹、白及、黄柏、苦葫芦蒂、赤小豆、黄蜀葵花各等分。	BAI LIAN,BAI JI,HUANG BAI,KU HU LU DI,CHI XIAO DOU,HUANG SHU KUI HUA GE DENG FEN,	恶疮。	涂患处。	《百一》卷十六。
DI LONG PIAN	地龙片	地龙（研粉）。	DI LONG,		成人每次5片，温开水送服，1日2至3次。	《中医外科学》。功效:祛风潜镇。
SHU DU WEI	束毒围	玉精炭（即蜒蛐，煅存性）4两，生大黄4两，五倍子3两，白及3两，生半夏2两，白蔹2两，百草霜1两，矾红1两，生南星1两，陈小粉（炒）1两，草乌1两，熊胆1钱。	YU JING TAN,SHENG DA HUANG,WU BEI ZI,BAI JI,SHENG BAN XIA,BAI LIAN,BAI CAO SHUANG,FAN HONG,SHENG NAN XING,CHEN XIAO FEN,CAO WU,XIONG DAN,	肿毒初起，热毒痈疡，发于阳分，盘硬疼痛色赤者。	热毒痈疡，发于阳分，盘硬疼痛色赤者，醋磨浓涂四围，使其不大，最为要旨。	《鸡鸣录》。
XIAO NIAO DAN BAI YIN	消尿蛋白饮	黄耆15g，龟版30g（先煎），淮山15g，苡米15g，粟米须30g，杜仲12g，扁豆15g，谷芽15g。	HUANG QI,GUI BAN,HUAI SHAN,YI MI,SU MI XU,DU ZHONG,BIAN DOU,GU YA,	慢性肾炎（肾病型）。脾肾两虚，面色(白光)白，唇淡，眼胞微肿，疲乏纳差，大便时溏，舌嫩，苔白，脉细尺弱。	水煎服，每日1剂。	《千家妙方》引邓铁涛方。功效:健脾固肾，利湿化浊。
ZI CHEN WAN	紫沉丸	半夏曲3钱，乌梅2钱（去核），代赭石3钱，杏仁1钱（去皮尖），丁香2钱，缩砂仁3钱，沉香1钱，槟榔2钱，木香1钱，陈皮5钱，白豆蔻半钱，白术1钱，巴豆霜半钱（另研）。	BAN XIA QU,WU MEI,DAI ZHE SHI,XING REN,DING XIANG,SUO SHA REN,CHEN XIANG,BIN LANG,MU XIANG,CHEN PI,BAI DOU KOU,BAI ZHU,BA DOU SHUANG,	中焦吐食，由食积与寒气相假，故吐而痛。	每服50丸，食后生姜汤送下，吐愈则止。小儿另丸。	《保命集》卷中。
TIAN HUANG SAN	天黄散	天南星1两（水泡令软，细切片），雄黄2钱。	TIAN NAN XING,XIONG HUANG,	痘疹后，多食甜物，及食积疳热，口内并唇口生疮，牙床肿烂，甚至牙齿脱落，臭不可闻。	每以指蘸药敷口内，1日3-4次，临卧再敷，不可吐出。	《古今医鉴》卷十四。
CHAI HU SHENG MA TANG	柴胡升麻汤	柴胡、黄芩、半夏、升麻、干葛、枳实、桔梗、知母、贝母、玄参、桑皮、甘草。	CHAI HU,HUANG QIN,BAN XIA,SHENG MA,GAN GE,ZHI SHI,JIE GENG,ZHI MU,BEI MU,XUAN CAN,SANG PI,GAN CAO,	伤寒咳嗽声嘶，或咽喉痛。	加生姜3片，水煎，温服。	《古今医鉴》卷三。
SHEN CAO TANG	神草汤	人参（去头芦）1两，白术1两，白茯苓（去皮）1两，当归（去芦头，切，酒浸1宿，熔干）1两半，黄耆2两，五味子2两，细辛（去叶土）1两，干姜1两（炮），陈橘皮（去白）、肉桂（去粗皮）1两半，白芍药1两，桑白皮8钱（微炒），甘草8钱（炙）。	REN SHEN,BAI ZHU,BAI FU LING,DANG GUI,HUANG QI,WU WEI ZI,XI XIN,GAN JIANG,CHEN JU PI,ROU GUI,BAI SHAO YAO,SANG BAI PI,GAN CAO,	肺与大肠俱受风冷，咳嗽喘急，不进饮食，大便泄利，时作寒热。	上（口父）咀。每服5钱，水1盏半，入生姜3片，乌梅1枚，同煎至8分，去滓温服，不拘时候。	《杨氏家藏方》卷八。
HUANG ZHONG WAN	黄钟丸	大黄40钱，黄芩20钱，黄连20钱。	DA HUANG,HUANG QIN,HUANG LIAN,	大便难，烦悸而心下痞者。	每服20-30丸，白汤送下。以下为度。若急下，则用酒服之。	《家塾方》。
RU XIANG GAO	乳香膏	清油1斤，皂荚5握（去皮，锉），葱白5握（锉），铅丹6两，团粉6两，松脂4两，乳香1两，当归1两，桂心1钱。	QING YOU,ZAO JIA,CONG BAI,QIAN DAN,TUAN FEN,SONG ZHI,RU XIANG,DANG GUI,GUI XIN,	一切痈肿疮疖。	用时摊故帛上外贴，每日早、晚换之。	《圣济总录》卷一三○。
MEI YAO WAN	没药丸	没药（研）半两，草乌头（生，去皮脐，擘开）1两（以黑豆同炒令黄色，拣去黑豆），荆芥穗1两，苍术（米泔浸，刮去皮）2两，虎骨（涂酥炙黄）1两，乳香（瓷盏内熔过，研）半两，麒麟竭半两。	MEI YAO,CAO WU TOU,JING JIE SUI,CANG ZHU,HU GU,RU XIANG,QI LIN JIE,	风，身体疼痛，腰脚无力。	每服5丸，以温酒送下。如疼痛甚者，用羊胫骨髓并盐各少许，同煎以热酒送下，空心，日中、临卧服，日3次。	《圣济总录》卷十。
MU XIANG WAN	木香丸	木香半两，肉豆蔻1两（去壳），川大黄1两（锉碎，微炒），槟榔1两，干姜1两（炮裂，锉），蓬莪术1两，香墨1两，巴豆1分（去皮心，研，纸裹，压去油）。	MU XIANG,ROU DOU KOU,CHUAN DA HUANG,BIN LANG,GAN JIANG,PENG E ZHU,XIANG MO,BA DOU,	妇人血气，心腹疼痛。	每服5丸，食前以温酒送下；粥饮下亦得。	《圣惠》卷七十一。
XUAN ZHI SAN	玄直散	土茯苓60钱（合为三生黄黑），熟地黄3两，生地黄1两，当归1两，黄耆（各酒制）1两，茯苓（蜜制）1两，甘草1钱，人参（茅野产）2两。	TU FU LING,SHU DI HUANG,SHENG DI HUANG,DANG GUI,HUANG QI,FU LING,GAN CAO,REN SHEN,	一切痼疾，羸瘦虚弱，不可与峻剂者。	以土茯苓煎汁，日服3帖。	《名家方选》。
ER YI WAN	二宜丸	五苓散、理中丸。	WU LING SAN,LI ZHONG WAN,	泄泻。	水煎服。或以五苓散下理中丸亦好。	《朱氏集验方》卷六引《梁氏总要方》。
PING WEI SAN	平胃散	附子（炮）1两，白术1两，丁香半两。	FU ZI,BAI ZHU,DING XIANG,	水肿。	每服2钱，水1盏，加生姜7片，大枣3枚，煎7分，不拘时候服，日3-5次。若肿未退，可灸三阴交穴及命门穴。	《普济方》卷一九一。
QING LING WAN	青灵丸	粉霜1钱，丹砂（研）1钱，腻粉1钱，水银2钱（用铅少许，结沙子），麝香（研）半钱，青黛2钱，巴豆30粒（去皮心膜，出油尽，研）。	FEN SHUANG,DAN SHA,NI FEN,SHUI YIN,SHE XIANG,QING DAI,BA DOU,	小儿乳癖。	每服5-7丸，薄荷汤送下，新水亦得。	《圣济总录》卷一七六。
XI YANG MEI CHUANG FANG	洗杨梅疮方	土地骨皮5钱，荆芥5钱，苦参5钱，细辛5钱。	TU DI GU PI,JING JIE,KU SHEN,XI XIN,	杨梅疮。	煎汤，先蒸，后洗。遍身出汗为效。如洗务要汤宽，浸洗良久方佳。	《医学入门》卷八。
SHENG GAN DI HUANG SAN	生干地黄散	生干地黄2两，柏叶1两（微炙），黄芩半两，阿胶1两（捣碎，炒令黄燥）。	SHENG GAN DI HUANG,BAI XIE,HUANG QIN,A XIAO,	血热小便出血。	每服3钱，以水1中盏，加生姜半分，煎至5分，去滓，每于食前温服。	《圣惠》卷七十二。
YU LONG GAO	玉龙膏	草乌3两（煨），火姜3两（煨），白芷1两，官桂1两，赤芍药1两。	CAO WU,HUO JIANG,BAI ZHI,GUAN GUI,CHI SHAO YAO,	痘毒流注。	热好酒调涂，不留孔，每日2次。	《痘疹传心录》卷十五。
MU DAN ZHOU	牡丹粥	牡丹叶1两半，漏芦（去芦头）1两半，决明子1两半，雄猪肝（去筋膜，切，研）2两。	MU DAN XIE,LOU LU,JUE MING ZI,XIONG ZHU GAN,	小儿癖瘕病。	上4味。以水3升，煎牡丹叶等3味，去滓取1升半，入猪肝及入粳米2合，煮如常粥，空腹食之，随儿大小加减。	《圣济总录》卷一九○。
SI WU HUA DU TANG	四物化毒汤	归身、川芎、生地、甘草、白芍、麦冬、牛蒡、官桂、木通。	GUI SHEN,CHUAN QIONG,SHENG DI,GAN CAO,BAI SHAO,MAI DONG,NIU BANG,GUAN GUI,MU TONG,	痘疮血不足，起发之后，窠囊浮肿，中含清水，如水泡之状者。	水煎服。	《痘疹全书》卷下。
HE LI LE PI SAN	诃黎勒皮散	诃黎勒皮3分，甘草3分（炙微赤，锉），干姜半两（炮裂，锉），陈橘皮3分（汤浸，去白瓤，焙），杏仁3分（汤浸，去皮尖双仁，麸炒微黄），白术1两。	HE LI LE PI,GAN CAO,GAN JIANG,CHEN JU PI,XING REN,BAI ZHU,	咳嗽呕吐，不下饮食，心膈气滞，四肢不和。	每服4钱，以水1中盏，加大枣6枚，煎至6分，去滓温服，不拘时候。	方出《圣惠》卷四十六，名见《普济方》卷一六一。
MAI MEN DONG YIN	麦门冬饮	麦门冬（去心）2两，栝楼根1两，知母（焙）1两，甘草（炙）1两，五味子1两，生干地黄（焙）1两，人参1两，葛根1两，茯神（去木）1两。	MAI MEN DONG,GUA LOU GEN,ZHI MU,GAN CAO,WU WEI ZI,SHENG GAN DI HUANG,REN SHEN,GE GEN,FU SHEN,	膈消。胸中烦满，津液燥少，短气多消。上消属虚热，脉虚浮数者。	上（口父）咀，如麻豆大。每服5钱匕，水2盏，加竹叶数片，煎至1盏，去滓温服，日2夜1。	《圣济总录》卷四十九。
JIAN ZHONG TANG	建中汤	官桂3分，白芍药1两半，甘草半两。	GUAN GUI,BAI SHAO YAO,GAN CAO,	脾胃不和．腹痛泄泻，表虚自汗。	上(口父)咀。每服4钱，水1盏半，加生姜5片，大枣1个，煎至6分，去滓，食前热服。	《易简》。
XING XIE JIU GU GAO	行血救骨膏	当归6两，金银花6两，桃仁6两，杏仁3两，续断3两，天花粉3两，苏木3两，红花3两，刘寄奴3两，白芷2两，大黄2两，荆芥2两，白术2两，败酱2两，沙参2两，黄连2两，黄柏2两，黄耆2两，丹参2两，木鳖仁2两，皂角2两，南星2两，三棱2两，蓬术2两，牡丹皮2两，露蜂房2两，生地黄2两，熟地黄2两，姜黄2两，连翘2两，泽兰2两，大风子仁2两，羌活2两，赤芍药2两，萆麻子2两，白及2两，白蔹2两，五灵脂	DANG GUI,JIN YIN HUA,TAO REN,XING REN,XU DUAN,TIAN HUA FEN,SU MU,HONG HUA,LIU JI NU,BAI ZHI,DA HUANG,JING JIE,BAI ZHU,BAI JIANG,SHA SHEN,HUANG LIAN,HUANG BAI,HUANG QI,DAN CAN,MU BIE REN,ZAO JIAO,NAN XING,SAN LENG,PENG ZHU,MU DAN PI,LU FENG FANG,SHENG DI HUANG,SHU DI HUANG,JIANG HUANG,LIAN QIAO,ZE LAN,DA FENG ZI REN,QIANG HUO,CHI SHAO YAO,PI MA ZI,BAI JI,BAI LIAN,WU LING ZHI,	初杖。		《疡科选粹》卷七。功效:行血散毒，去腐肉。
SAN HUANG JIE DU TANG	三黄解毒汤	黄柏、黄芩、黄连、山栀、大黄各等分。	HUANG BAI,HUANG QIN,HUANG LIAN,SHAN ZHI,DA HUANG GE DENG FEN,	妊娠伤寒5-6日后，表邪悉罢，并无头疼恶寒之症，只烦躁发热大渴，小便赤，大便秘，或利下赤水，六脉沉实。	水煎服。	《广嗣纪要》卷十。
TUI CHI SAN	退赤散	生地黄、木通、甘草、栀子各等分。	SHENG DI HUANG,MU TONG,GAN CAO,ZHI ZI GE DENG FEN,	肝实而血盛，血气上冲，流注于目，致目赤而不痛。	每服2钱，食后用竹叶汤调下，每日3次。	《葆光道人眼科龙木集》。
LAN WEI YI HAO XIAO YAN PIAN	阑尾一号消炎片	金银花125g，大青叶125g，败酱草125g，蒲公英125g，川楝子25g，生大黄37.5g，木香37.5g，冬瓜仁37.5g，桃仁25g，赤芍50g，黄芩37.5g，滑石粉15g，红藤125g。	JIN YIN HUA,DA QING XIE,BAI JIANG CAO,PU GONG YING,CHUAN LIAN ZI,SHENG DA HUANG,MU XIANG,DONG GUA REN,TAO REN,CHI SHAO,HUANG QIN,HUA SHI FEN,HONG TENG,	急慢性及化脓性阑尾炎。	每次口服10-15片，1日3次。	《中药制剂汇编》。功效:清热解毒，枯血排脓。
QING YING TANG	清营汤	犀角3钱，生地5钱，元参3钱，竹叶心1钱，麦冬3钱，丹参2钱，黄连1钱5分，银花3钱，连翘2钱（连心用）。	XI JIAO,SHENG DI,YUAN SHEN,ZHU XIE XIN,MAI DONG,DAN SHEN,HUANG LIAN,YIN HUA,LIAN QIAO,	暑温，邪入手厥阴，脉虚，夜寐不发，烦渴舌赤，时有谵语，目常开不闭，或喜闭不开及阳明温病，邪在血分，舌黄燥，肉色绛，不渴者。邪热初入营分，身热夜甚，口渴或不渴，时有谵语，心烦不眠，或斑疹隐隐，舌绛而干，脉象细数。	上以水8杯，煮取3杯，每日3服。	《温病条辨》卷一。功效:清营解毒，透热养阴。
GAN DI HUANG WAN	干地黄丸	干地黄4两，天门冬5两，黄耆3两，黄芩3两，大黄3两，黄连3两，泽泻3两，细辛3两，甘草2两，桂心2两，芍药2两，茯苓2两，干漆2两，人参1两。	GAN DI HUANG,TIAN MEN DONG,HUANG QI,HUANG QIN,DA HUANG,HUANG LIAN,ZE XIE,XI XIN,GAN CAO,GUI XIN,SHAO YAO,FU LING,GAN QI,REN SHEN,	虚劳客热，数发痈肿疮疖，经年不除。	每服10丸，酒送下，日3夜1。加至20丸。	《千金》卷二十二。功效:久服延年，终身不发痈疽。
